iter	Passed	Remaining
407	5710	12441
408	5722	12424
409	5726	12389
410	5739	12373
411	5752	12356
412	5769	12348
413	5782	12332
414	5796	12318
415	5810	12304
416	5824	12290
417	5841	12283
418	5855	12269
419	5869	12255
420	5882	12239
421	5894	12222
422	5899	12190
423	5912	12174
424	5925	12157
425	5941	12148
426	5945	12113
427	5958	12097
428	5972	12084
429	5985	12068
430	6003	12062
431	6017	12048
432	6031	12034
433	6046	12023
434	6059	12006
435	6072	11991
436	6087	11980
437	6100	11964
438	6114	11950
439	6118	11916
440	6131	11901
441	6135	11868
442	6149	11853
443	6161	11836
444	6174	11820
445	6190	11811
446	6204	11798
447	6217	11783
448	6231	11768
449	6244	11753
450	6257	11737
451	6270	11722
452	6283	11706
453	6295	11690
454	6299	11657
455	6312	11641
456	6325	11626
457	6338	11610
458	6350	11594
459	6363	11578
460	6376	11562
461	6394	11556
462	6407	11542
463	6420	11527
464	6433	11511
465	6446	11495
466	6458	11478
467	6470	11462
468	6483	11446
469	6496	11430
470	6508	11414
471	6521	11397
472	6533	11382
473	6546	11365
474	6559	11350
475	6578	11345
476	6592	11332
477	6605	11318
478	6620	11305
479	6634	11291
480	6647	11277
481	6660	11262
482	6675	11249
483	6688	11234
484	6703	11223
485	6717	11209
486	6731	11196
487	6746	11184
488	6765	11179
489	6780	11166
490	6794	11153
491	6809	11141
492	6822	11126
493	6836	11112
494	6849	11097
495	6863	11084
496	6867	11054
497	6880	11039
498	6893	11024
499	6910	11014
500	6923	11000
501	6941	10993
502	6955	10979
503	6960	10951
504	6973	10936
505	6986	10922
506	6991	10893
507	7004	10879
508	7017	10863
509	7030	10848
510	7051	10846
511	7063	10830
512	7076	10815
513	7090	10800
514	7102	10785
515	7136	10802
516	7156	10797
517	7170	10782
518	7183	10768
519	7196	10753
520	7209	10738
521	7222	10722
522	7235	10707
523	7248	10693
524	7261	10678
525	7274	10663
526	7287	10648
527	7305	10639
528	7319	10626
529	7332	10611
530	7345	10596
531	7360	10584
532	7373	10568
533	7385	10553
534	7398	10537
535	7402	10510
536	7415	10494
537	7428	10480
538	7440	10464
539	7453	10448
540	7465	10432
541	7480	10419
542	7495	10408
543	7509	10394
544	7525	10383
545	7538	10368
546	7551	10354
547	7567	10342
548	7580	10328
549	7585	10302
550	7602	10293
551	7616	10279
552	7629	10265
553	7642	10249
554	7660	10241
555	7674	10228
556	7688	10214
557	7703	10202
558	7718	10189
559	7731	10174
560	7744	10160
561	7761	10150
562	7774	10135
563	7787	10121
564	7804	10111
565	7818	10097
566	7822	10071
567	7835	10055
568	7850	10044
569	7866	10033
570	7880	10019
571	7893	10005
572	7907	9991
573	7922	9979
574	7926	9953
575	7939	9938
576	7952	9923
577	7968	9912
578	7983	9899
579	7987	9874
580	8000	9860
581	8014	9846
582	8035	9840
583	8049	9827
584	8063	9813
585	8077	9799
586	8090	9786
587	8103	9770
588	8115	9755
589	8128	9740
590	8141	9726
591	8154	9711
592	8159	9686
593	8172	9672
594	8185	9657
595	8198	9642
596	8214	9631
597	8228	9618
598	8242	9605
599	8255	9589
600	8268	9575
601	8282	9561
602	8295	9547
603	8308	9532
604	8322	9518
605	8335	9504
606	8348	9489
607	8360	9474
608	8373	9459
609	8389	9449
610	8402	9433
611	8416	9420
612	8429	9405
613	8443	9391
614	8456	9378
615	8469	9363
616	8481	9347
617	8494	9333
618	8507	9318
619	8522	9305
620	8536	9292
621	8550	9278
622	8566	9267
623	8582	9256
624	8596	9242
625	8611	9230
626	8626	9217
627	8639	9203
628	8652	9189
629	8666	9175
630	8681	9163
631	8694	9148
632	8710	9136
633	8723	9122
634	8736	9107
635	8752	9096
636	8769	9086
637	8784	9073
638	8799	9061
639	8812	9046
640	8827	9033
641	8840	9019
642	8854	9005
643	8867	8991
644	8883	8979
645	8898	8967
646	8912	8953
647	8929	8943
648	8945	8931
649	8959	8917
650	8973	8904
651	8986	8889
652	8999	8875
653	9012	8861
654	9025	8846
655	9038	8831
656	9051	8817
657	9064	8802
658	9078	8789
659	9092	8775
660	9105	8761
661	9120	8748
662	9133	8734
663	9148	8720
664	9160	8706
665	9174	8692
666	9187	8677
667	9200	8663
668	9213	8648
669	9226	8634
670	9239	8620
671	9252	8605
672	9265	8590
673	9278	8576
674	9292	8562
675	9307	8550
676	9324	8539
677	9337	8524
678	9350	8510
679	9363	8495
680	9376	8481
681	9380	8458
682	9392	8443
683	9405	8429
684	9417	8414
685	9430	8399
686	9442	8384
687	9454	8369
688	9467	8354
689	9480	8339
690	9494	8326
691	9508	8313
692	9524	8301
693	9538	8287
694	9553	8275
695	9569	8263
696	9583	8250
697	9596	8235
698	9612	8223
699	9625	8209
700	9638	8194
701	9652	8180
702	9665	8166
703	9681	8155
704	9695	8141
705	9711	8129
706	9724	8115
707	9737	8100
708	9751	8086
709	9763	8072
710	9778	8059
711	9791	8045
712	9804	8030
713	9818	8016
714	9833	8003
715	9848	7991
716	9862	7977
717	9877	7965
718	9890	7951
719	9904	7936
720	9921	7926
721	9934	7911
722	9948	7898
723	9961	7883
724	9974	7869
725	9987	7854
726	10000	7840
727	10016	7828
728	10029	7814
729	10043	7800
730	10057	7787
731	10070	7772
732	10083	7758
733	10096	7744
734	10109	7729
735	10122	7715
736	10135	7701
737	10149	7687
738	10162	7673
739	10174	7658
740	10187	7644
741	10203	7632
742	10216	7617
743	10229	7603
744	10243	7589
745	10255	7575
746	10268	7560
747	10281	7546
748	10294	7531
749	10306	7516
750	10318	7502
751	10331	7487
752	10343	7472
753	10356	7458
754	10368	7443
755	10384	7431
