iter	RMSE
544	3443.742114
545	3440.978815
546	3438.84805
547	3436.085608
548	3433.767146
549	3433.747985
550	3431.25245
551	3429.189824
552	3426.804433
553	3426.14686
554	3424.518532
555	3423.006201
556	3421.099447
557	3419.709397
558	3418.246468
559	3416.450718
560	3413.021818
561	3412.19417
562	3411.279436
563	3406.351679
564	3405.953309
565	3404.187159
566	3404.169865
567	3402.184311
568	3399.19151
569	3398.050424
570	3395.072893
571	3393.077234
572	3390.599483
573	3388.992974
574	3388.976817
575	3386.648784
576	3384.775163
577	3382.486789
578	3379.643867
579	3379.628623
580	3377.066928
581	3374.766483
582	3372.371692
583	3370.155199
584	3367.054272
585	3365.779415
586	3364.031922
587	3361.662332
588	3360.557826
589	3359.065522
590	3357.970785
591	3356.185274
592	3356.171147
593	3354.487155
594	3353.727113
595	3351.163691
596	3347.517834
597	3346.217989
598	3343.983247
599	3343.015
600	3340.771432
601	3337.922413
602	3336.540346
603	3335.502313
604	3334.173247
605	3332.56186
606	3331.738344
607	3329.656577
608	3328.218644
609	3327.230812
610	3326.537537
611	3325.423285
612	3322.668794
613	3320.941417
614	3317.70803
615	3314.83537
616	3313.167329
617	3312.279511
618	3310.899037
619	3308.299286
620	3306.478952
621	3304.742173
622	3302.800406
623	3300.787954
624	3299.928006
625	3296.753996
626	3295.133961
627	3293.509874
628	3288.879378
629	3287.249578
630	3285.428391
631	3284.574166
632	3281.012266
633	3279.347004
634	3278.304148
635	3276.769173
636	3275.266506
637	3274.231812
638	3272.13209
639	3270.474346
640	3268.69665
641	3267.207802
642	3263.985608
643	3262.447704
644	3260.315362
645	3259.436072
646	3256.999556
647	3255.355317
648	3251.640704
649	3248.358053
650	3247.700488
651	3245.919965
652	3243.715071
653	3242.075747
654	3238.984179
655	3237.453571
656	3235.557741
657	3232.787692
658	3230.233424
659	3227.094274
660	3225.310998
661	3223.754317
662	3221.020798
663	3219.015529
664	3217.846895
665	3216.352674
666	3215.708547
667	3213.792837
668	3212.97686
669	3211.478209
670	3207.943693
671	3206.524544
672	3205.284875
673	3203.87968
674	3200.967422
675	3199.492781
676	3198.692335
677	3197.5087
678	3194.919967
679	3192.956837
680	3191.759932
681	3191.747796
682	3190.124102
683	3187.386984
684	3184.874093
685	3183.526505
686	3181.157679
687	3179.645247
688	3176.990497
689	3173.783658
690	3172.876009
691	3170.914949
692	3168.717326
693	3166.656683
694	3164.841934
695	3163.170679
696	3160.407262
697	3159.271662
698	3157.065502
699	3156.036829
700	3155.324178
701	3154.490778
702	3151.486325
703	3149.605534
704	3147.7279
705	3145.974179
706	3142.596498
707	3141.464089
708	3139.797013
709	3138.143922
710	3136.589744
711	3135.380506
712	3132.87676
713	3130.348804
714	3129.346029
715	3128.712251
716	3128.536379
717	3126.968906
718	3125.662077
719	3124.49642
720	3123.481593
721	3122.115544
722	3120.520346
723	3118.123577
724	3117.385255
725	3115.547209
726	3114.79814
727	3112.056311
728	3110.377747
729	3109.260588
730	3108.27875
731	3106.996499
732	3105.65261
733	3104.179067
734	3102.956051
735	3101.471851
736	3097.863442
737	3095.295675
738	3093.05197
739	3091.93913
740	3090.585914
741	3088.335034
742	3086.943233
743	3085.924339
744	3084.72345
745	3083.965295
746	3083.074905
747	3081.850637
748	3080.18761
749	3078.201591
750	3077.340954
751	3076.135173
752	3074.54303
753	3072.352723
754	3071.070528
755	3070.066444
756	3068.412567
757	3067.809675
758	3066.240284
759	3065.609456
760	3065.31089
761	3063.999849
762	3061.136386
763	3059.506976
764	3056.947132
765	3055.276314
766	3053.809027
767	3052.617146
768	3049.779223
769	3048.253986
770	3046.566031
771	3044.579314
772	3042.54935
773	3042.36067
774	3040.758532
775	3039.155237
776	3036.156176
777	3034.541916
778	3032.57253
779	3031.368453
780	3029.937801
781	3028.549357
782	3026.430824
783	3025.436301
784	3024.209717
785	3023.379028
786	3022.297503
787	3018.707596
788	3017.078456
789	3015.469795
790	3014.037805
791	3012.548028
792	3010.824455
793	3009.415263
794	3007.980118
795	3007.061686
796	3004.057965
797	3002.413721
798	3000.907121
799	2999.701606
800	2998.440641
801	2997.51371
802	2996.279487
803	2994.139948
804	2992.35309
805	2991.377644
806	2989.558544
807	2987.714132
808	2986.487028
809	2985.255385
810	2984.428654
811	2982.462522
812	2979.652172
813	2978.491184
814	2977.079076
815	2975.881514
816	2974.897769
817	2973.276087
818	2971.098728
819	2968.628725
820	2967.077431
821	2964.578478
822	2962.223929
823	2960.066024
824	2958.826461
825	2957.488699
826	2955.487018
827	2953.535189
828	2951.796312
829	2950.531698
830	2949.555021
831	2948.294077
832	2947.397424
833	2946.409731
834	2944.763334
835	2943.734521
836	2941.536915
837	2939.776135
838	2937.269136
839	2936.109806
840	2934.291779
841	2933.161263
842	2932.266887
843	2930.929384
844	2928.807226
845	2926.441132
846	2924.192937
847	2922.244199
848	2921.248181
849	2919.894841
850	2918.355757
851	2918.08395
852	2916.945665
853	2915.24849
854	2914.68992
855	2913.808771
856	2912.90177
857	2912.350348
858	2911.326668
859	2909.722099
860	2907.589889
861	2906.385812
862	2905.893833
863	2905.110202
864	2904.123592
865	2902.733487
866	2901.218804
867	2899.704391
868	2898.594966
869	2896.954933
870	2895.276486
871	2893.338794
872	2891.861348
873	2891.235438
874	2889.454044
875	2888.45119
876	2887.659811
877	2886.307804
878	2884.321117
879	2883.144007
880	2880.232754
881	2879.090161
882	2878.41457
883	2877.276607
884	2876.38111
885	2875.541941
886	2874.146876
887	2873.170282
888	2871.836182
889	2869.850713
890	2868.788842
891	2867.695928
892	2866.109768
893	2865.162781
894	2863.722293
895	2862.895904
896	2861.280958
897	2860.58822
898	2858.905671
899	2857.510933
900	2855.97737
901	2854.327433
902	2853.151681
903	2851.630152
904	2850.590116
905	2849.530561
906	2846.300858
907	2843.534369
908	2842.030823
909	2840.544767
910	2838.698102
911	2837.955196
912	2836.50623
913	2834.705678
914	2832.607611
915	2831.376184
916	2829.584668
917	2828.502981
918	2827.172112
919	2825.740395
920	2823.971528
921	2823.225757
922	2821.325267
923	2820.074924
924	2819.390553
925	2818.353387
926	2817.554056
927	2816.005177
928	2815.040951
929	2814.212487
930	2812.545898
931	2811.501293
932	2810.36258
933	2809.812494
934	2808.120191
935	2807.384475
936	2806.888576
937	2806.262287
938	2804.352189
939	2803.706632
940	2802.27095
941	2801.194183
942	2799.731789
943	2799.00097
944	2798.353821
945	2797.159383
946	2796.441609
947	2795.717702
948	2793.560731
949	2792.391911
950	2791.222172
951	2789.925015
952	2789.268011
953	2788.229191
954	2787.324461
955	2785.926558
956	2782.783403
957	2781.300345
958	2780.322199
959	2778.973441
960	2777.941703
961	2776.566898
962	2775.250934
963	2774.350333
964	2772.993998
965	2772.40135
966	2770.647235
967	2769.507328
968	2768.830187
969	2768.010904
970	2767.505646
971	2766.086841
972	2764.106202
973	2763.35471
974	2762.112724
975	2760.547017
976	2759.632814
977	2758.262787
978	2757.176622
979	2755.229387
980	2754.173554
981	2753.04038
982	2752.396823
983	2751.949103
984	2750.490269
985	2749.842372
986	2748.701008
987	2747.055912
988	2745.53405
989	2744.371249
990	2743.853997
991	2742.101665
992	2741.082405
993	2740.397572
994	2739.69656
995	2738.659087
996	2737.550454
997	2736.389706
998	2735.201598
999	2734.166002
1000	2732.580155
1001	2731.912763
1002	2729.48638
1003	2728.385794
1004	2726.977516
1005	2725.610656
1006	2725.11943
1007	2724.324961
1008	2723.323819
1009	2722.233906
1010	2721.21572
1011	2720.226762
1012	2719.14425
1013	2716.922821
1014	2714.128397
1015	2712.870076
1016	2712.088004
1017	2710.33061
1018	2709.747859
1019	2709.171031
1020	2708.723036
1021	2707.697147
1022	2706.283706
1023	2706.081221
1024	2705.021041
1025	2704.059933
1026	2703.475541
1027	2701.923219
1028	2700.960322
1029	2699.347728
1030	2698.847388
1031	2697.852395
1032	2697.036479
1033	2695.897421
1034	2694.159826
1035	2693.503979
1036	2691.87712
1037	2690.426937
1038	2689.741665
1039	2688.085746
1040	2686.803517
1041	2685.940095
1042	2684.306993
1043	2683.00969
1044	2682.316061
1045	2681.293521
1046	2679.135394
1047	2678.051499
1048	2677.172339
1049	2676.120798
1050	2673.900852
1051	2672.381475
1052	2671.757494
1053	2669.728088
1054	2668.924002
1055	2667.84487
1056	2667.042909
1057	2666.180798
1058	2665.049998
1059	2663.457767
1060	2662.74208
1061	2661.777377
1062	2661.087101
1063	2660.606847
1064	2659.79331
1065	2658.694256
1066	2657.093824
1067	2656.895916
1068	2655.719396
1069	2654.706988
1070	2653.24792
1071	2652.567005
1072	2651.538729
1073	2650.55288
1074	2647.981403
1075	2647.033523
1076	2645.915569
1077	2644.766488
1078	2642.529193
1079	2641.905084
1080	2640.899307
1081	2640.24755
1082	2638.27313
1083	2637.998052
1084	2636.878421
1085	2635.878854
1086	2635.243559
1087	2633.832462
1088	2632.769437
1089	2631.557453
1090	2630.639743
1091	2629.588402
1092	2627.835446
1093	2626.689829
1094	2625.469369
1095	2625.327204
1096	2622.833189
1097	2622.0072
1098	2620.593084
1099	2619.535742
1100	2617.773935
1101	2616.842557
1102	2614.937623
1103	2614.330388
1104	2612.782609
1105	2612.078842
1106	2611.137192
1107	2609.859806
1108	2609.344103
1109	2608.432134
1110	2607.960701
1111	2606.041691
1112	2604.218654
1113	2603.147843
1114	2601.736647
1115	2600.936269
1116	2599.273542
1117	2598.383537
1118	2597.703266
1119	2596.882157
1120	2595.765629
1121	2595.030208
1122	2594.034454
1123	2593.366916
1124	2592.531376
1125	2591.788025
1126	2590.838129
1127	2590.24949
1128	2588.403114
1129	2587.603727
1130	2585.582138
1131	2584.873985
1132	2584.504036
1133	2583.126399
1134	2582.249056
1135	2580.681556
1136	2579.605072
1137	2578.798325
1138	2578.617359
1139	2577.74576
1140	2577.300672
1141	2576.356531
1142	2574.324256
1143	2573.147988
1144	2572.142598
1145	2571.486014
1146	2570.725442
1147	2569.739211
1148	2568.497696
1149	2567.484427
1150	2566.819776
1151	2566.039707
1152	2564.621263
1153	2563.371778
1154	2562.513684
1155	2561.61999
1156	2559.9974
1157	2559.376395
1158	2558.443568
1159	2557.510723
1160	2556.327064
1161	2556.064035
1162	2554.779094
1163	2553.919349
1164	2553.131759
1165	2551.425516
1166	2550.390234
1167	2549.232249
1168	2548.511455
1169	2547.963484
1170	2547.11297
1171	2546.280197
1172	2545.342381
1173	2544.576101
1174	2543.634137
1175	2542.408646
1176	2541.780088
1177	2540.752382
1178	2540.432899
1179	2539.537641
1180	2538.664865
1181	2538.235887
1182	2537.171693
1183	2536.383944
1184	2535.167105
1185	2533.885688
1186	2533.312922
1187	2531.971462
1188	2531.20644
1189	2530.421144
1190	2529.376901
1191	2528.247508
1192	2527.504716
1193	2526.563005
1194	2525.968681
1195	2524.580354
1196	2523.379141
1197	2521.811871
1198	2520.643677
1199	2519.568967
1200	2518.272015
1201	2517.545504
1202	2516.905576
1203	2516.144353
1204	2514.828311
1205	2514.011064
1206	2513.489214
1207	2512.207954
1208	2510.863194
1209	2510.24913
1210	2509.208992
1211	2508.6783
1212	2507.989194
1213	2506.464088
1214	2505.701779
1215	2504.683456
1216	2503.993047
1217	2502.925824
1218	2501.958525
1219	2501.022365
1220	2499.712171
1221	2498.557876
1222	2498.122029
1223	2497.487751
1224	2496.845311
1225	2496.221288
1226	2495.702429
1227	2494.70701
1228	2494.021979
1229	2493.535523
1230	2492.529929
1231	2492.039695
1232	2491.110415
1233	2489.910488
1234	2489.255442
1235	2488.705818
1236	2488.186136
1237	2487.384012
1238	2486.755307
1239	2485.962975
1240	2484.123053
1241	2483.103747
1242	2482.749851
1243	2481.570076
1244	2480.796851
1245	2480.241274
1246	2479.823654
1247	2479.185292
1248	2477.557291
1249	2476.76095
1250	2475.335615
1251	2474.451848
1252	2474.020389
1253	2473.020944
1254	2471.799647
1255	2471.30747
1256	2470.779142
1257	2470.272346
1258	2469.219987
1259	2468.412645
1260	2467.62441
1261	2466.111835
1262	2465.411157
1263	2464.32172
1264	2463.811897
1265	2462.646949
1266	2461.572741
1267	2460.638084
1268	2459.447629
1269	2458.772744
1270	2457.573507
1271	2455.844981
1272	2455.049106
1273	2453.513698
1274	2453.218095
1275	2452.116847
1276	2450.941136
1277	2450.01507
1278	2448.790255
1279	2447.670761
1280	2447.325707
1281	2446.43662
1282	2445.45916
1283	2445.058333
1284	2444.435476
1285	2443.871499
1286	2442.458082
1287	2441.853025
1288	2441.365931
1289	2440.426085
1290	2439.385537
1291	2438.484981
1292	2437.338363
1293	2436.831162
1294	2435.542081
1295	2435.015102
1296	2434.188633
